aluminium_can
aluminium_foil
battery
brush
bulb
fiber_cardboard
fiber_cup-glass
fiber_paper
footwear
glass_bottle
lighter
metals
metals_bottle
metals_container
metals_lid
abs_electronics
hdpe_bottle
hdpe_container
hdpe_lid
hdpe_toys
hdpe_tube
ldpe_flexibles
mlp_flexibles
pc_cd
pc_goggles
pet_blister-pack
pet_bottle
pet_container
pet_cup-glass
pp_comb
pp_container
pp_pen
pp_spoon
pp_straw
pp_tray
ps
ps_cup-glass
ps_flexibles
ps_hangers
pvc_pipe
tetrapak_carton
textile_clothes
textile_flexibles
tire
wood
